postcode,mean_ptal
BR1 1WQ,28.5572
BR1 1WR,28.5572
BR1 1WS,28.5572
BR1 1WT,28.5572
BR1 1WU,28.5572
BR1 1WW,28.5572
BR1 1WX,28.5572
BR1 1WY,28.5572
BR1 1WZ,28.5572
BR1 1XA,28.5572
BR1 1XB,28.5572
BR1 1XD,28.5572
BR1 1XE,28.5572
BR1 1XF,28.5572
BR1 1XU,28.5572
BR1 1XW,28.5572
BR1 1XX,28.5572
BR1 1XY,28.5572
BR1 1XZ,28.5572
BR1 1YW,28.5572
BR1 1YX,28.5572
BR1 1YZ,28.5572
BR1 1ZA,28.5572
BR1 1ZB,28.5572
BR1 1ZD,28.5572
BR1 1ZE,28.5572
BR1 1ZF,28.5572
BR1 1ZG,28.5572
BR1 1ZH,28.5572
BR1 1ZJ,28.5572
BR1 1ZL,28.5572
BR1 1ZN,28.5572
BR1 1ZP,28.5572
BR1 1ZQ,28.5572
BR1 1ZR,28.5572
BR1 1ZS,28.5572
BR1 1ZU,28.5572
BR1 1ZW,28.5572
BR1 1ZX,28.5572
BR1 1ZY,28.5572
BR1 1ZZ,28.5572
BR1 2AA,4.29695
BR1 2AB,8.30551
BR1 2AD,8.30551
BR1 2AE,8.30551
BR1 2AF,8.30551
BR1 2AG,8.30551
BR1 2AH,8.30551
BR1 2AJ,8.30551
BR1 2AL,8.30551
BR1 2AN,8.30551
BR1 2AP,8.30551
BR1 2AQ,8.30551
BR1 2AR,8.30551
BR1 2AS,8.30551
BR1 2AT,8.30551
BR1 2AU,8.30551
BR1 2AW,8.30551
BR1 2AX,8.30551
BR1 2AY,8.30551
BR1 2AZ,8.30551
BR1 2BA,8.30551
BR1 2BB,8.30551
BR1 2BD,8.30551
BR1 2BE,8.30551
BR1 2BF,8.30551
BR1 2BG,3.18018
BR1 2BH,8.30551
BR1 2BJ,8.30551
BR1 2BL,7.97442
BR1 2BN,7.97442
BR1 2BP,7.97442
BR1 2BQ,8.30551
BR1 2BS,7.97442
BR1 2BT,7.97442
BR1 2BU,8.29657
BR1 2BW,7.97442
BR1 2BX,8.29657
BR1 2BY,8.29657
BR1 2BZ,8.29657
BR1 2DA,8.29657
BR1 2DB,8.29657
BR1 2DD,8.29657
BR1 2DE,8.29657
BR1 2DF,8.29657
BR1 2DG,8.29657
BR1 2DH,8.29657
BR1 2DJ,8.29657
BR1 2DL,8.29657
BR1 2DN,8.29657
BR1 2DP,8.29657
BR1 2DQ,8.29657
BR1 2DR,7.97442
BR1 2DS,7.97442
BR1 2DT,7.97442
BR1 2DU,7.97442
BR1 2DW,8.29657
BR1 2DX,7.97442
BR1 2DY,7.97442
BR1 2DZ,7.97442
BR1 2EA,4.78328
BR1 2EB,8.29657
BR1 2ED,3.18018
BR1 2EE,8.29657
BR1 2EF,8.29657
