year,borough_outbound,area_bin,average_price,average_area,property_count
2015,11_N22,Q4a,,,0
2015,11_N22,Q4b,619500.0,153.5,2
2015,11_N9,Q1,182712.86,43.4,107
2015,11_N9,Q2,271691.91,70.07,136
2015,11_N9,Q3,316000.03,88.03,155
2015,11_N9,Q4a,376105.61,118.19,33
2015,11_N9,Q4b,537400.0,180.22,5
2015,12_BR7,Q1,225000.0,48.0,1
2015,12_BR7,Q2,376666.67,74.0,3
2015,12_BR7,Q3,410750.0,90.24,4
2015,12_BR7,Q4a,325000.0,140.0,1
2015,12_BR7,Q4b,,,0
2015,12_DA15,Q1,,,0
2015,12_DA15,Q2,270000.0,72.68,2
2015,12_DA15,Q3,301920.0,91.91,5
2015,12_DA15,Q4a,385000.0,110.5,2
2015,12_DA15,Q4b,,,0
2015,12_SE10,Q1,333107.92,49.74,313
2015,12_SE10,Q2,454431.49,69.12,300
2015,12_SE10,Q3,552534.6,88.51,258
2015,12_SE10,Q4a,774188.88,121.04,120
2015,12_SE10,Q4b,1369308.64,193.49,25
2015,12_SE12,Q1,227500.0,53.65,4
2015,12_SE12,Q2,295000.0,71.04,22
2015,12_SE12,Q3,391205.88,86.84,17
2015,12_SE12,Q4a,556607.14,120.2,14
2015,12_SE12,Q4b,770000.0,192.0,2
2015,12_SE13,Q1,196750.0,48.03,2
2015,12_SE13,Q2,276750.0,72.75,4
2015,12_SE13,Q3,386737.5,89.75,8
2015,12_SE13,Q4a,,,0
2015,12_SE13,Q4b,,,0
2015,12_SE18,Q1,220186.1,47.49,287
2015,12_SE18,Q2,300871.8,69.2,327
2015,12_SE18,Q3,346817.93,88.52,290
2015,12_SE18,Q4a,429122.11,119.88,97
2015,12_SE18,Q4b,558854.17,179.02,12
2015,12_SE2,Q1,231331.04,51.62,24
2015,12_SE2,Q2,292969.15,70.42,68
2015,12_SE2,Q3,295523.46,85.14,61
2015,12_SE2,Q4a,307785.71,109.43,7
2015,12_SE2,Q4b,,,0
2015,12_SE28,Q1,194646.76,51.07,68
2015,12_SE28,Q2,249175.55,68.67,74
2015,12_SE28,Q3,272616.4,87.02,43
2015,12_SE28,Q4a,303714.29,115.66,7
2015,12_SE28,Q4b,353000.0,174.12,1
2015,12_SE3,Q1,316447.15,48.53,91
2015,12_SE3,Q2,425364.59,69.05,147
2015,12_SE3,Q3,490878.55,89.28,141
2015,12_SE3,Q4a,676273.82,121.16,55
2015,12_SE3,Q4b,1394837.22,214.84,46
2015,12_SE7,Q1,226333.22,49.43,51
2015,12_SE7,Q2,310430.66,65.25,53
2015,12_SE7,Q3,438592.41,91.17,54
2015,12_SE7,Q4a,542217.75,120.64,55
2015,12_SE7,Q4b,652900.0,160.4,5
2015,12_SE8,Q1,329092.19,48.17,32
2015,12_SE8,Q2,439788.72,68.86,32
2015,12_SE8,Q3,537845.45,85.44,11
2015,12_SE8,Q4a,711666.67,119.5,3
2015,12_SE8,Q4b,565000.0,169.0,1
2015,12_SE9,Q1,206075.37,49.26,107
2015,12_SE9,Q2,286017.61,68.82,153
2015,12_SE9,Q3,361556.53,88.99,238
2015,12_SE9,Q4a,470482.01,120.76,134
2015,12_SE9,Q4b,714930.86,181.76,29
2015,13_E1,Q1,682500.0,47.0,1
2015,13_E1,Q2,675000.0,68.0,1
2015,13_E1,Q3,,,0
2015,13_E1,Q4a,,,0
2015,13_E1,Q4b,,,0
2015,13_E2,Q1,389834.52,48.46,33
2015,13_E2,Q2,460542.19,67.28,32
2015,13_E2,Q3,588457.69,87.61,13
2015,13_E2,Q4a,539000.0,109.67,3
2015,13_E2,Q4b,250000.0,254.0,1
2015,13_E20,Q1,,,0
2015,13_E20,Q2,,,0
2015,13_E20,Q3,,,0
2015,13_E20,Q4a,,,0
2015,13_E20,Q4b,,,0
2015,13_E5,Q1,331178.29,47.1,144
2015,13_E5,Q2,401220.35,68.13,107
2015,13_E5,Q3,617184.98,89.09,64
2015,13_E5,Q4a,792083.69,121.37,74
2015,13_E5,Q4b,1036810.89,180.33,27
2015,13_E8,Q1,360144.98,46.22,163
2015,13_E8,Q2,500593.75,67.95,108
2015,13_E8,Q3,665921.76,87.93,84
2015,13_E8,Q4a,1013679.36,122.54,39
2015,13_E8,Q4b,1479257.94,184.33,16
2015,13_E9,Q1,316134.04,47.92,111
2015,13_E9,Q2,415418.96,66.64,96
2015,13_E9,Q3,573724.66,87.98,59
2015,13_E9,Q4a,871956.52,118.66,23
2015,13_E9,Q4b,1549041.67,193.09,12
2015,13_EC1V,Q1,532766.48,48.17,64
2015,13_EC1V,Q2,733224.41,71.95,37
2015,13_EC1V,Q3,1018601.32,87.15,68
2015,13_EC1V,Q4a,1388748.75,117.0,4
2015,13_EC1V,Q4b,2750000.0,192.0,1
2015,13_EC2A,Q1,441875.25,43.15,4
2015,13_EC2A,Q2,829166.67,70.33,3
2015,13_EC2A,Q3,1035000.0,89.75,8
2015,13_EC2A,Q4a,1291666.67,120.0,3
2015,13_EC2A,Q4b,1520000.0,156.0,1
2015,13_N1,Q1,435342.47,48.89,101
2015,13_N1,Q2,588299.95,68.86,102
2015,13_N1,Q3,783846.6,88.85,67
2015,13_N1,Q4a,1155208.4,121.02,25
2015,13_N1,Q4b,1575887.91,172.8,11
2015,13_N15,Q1,,,0
2015,13_N15,Q2,,,0
2015,13_N15,Q3,,,0
2015,13_N15,Q4a,,,0
2015,13_N15,Q4b,,,0
2015,13_N16,Q1,381596.36,47.5,157
2015,13_N16,Q2,450188.98,67.7,127
2015,13_N16,Q3,663295.19,89.26,89
2015,13_N16,Q4a,949455.11,122.27,75
2015,13_N16,Q4b,1292469.16,186.01,32
2015,13_N4,Q1,335234.59,48.45,104
2015,13_N4,Q2,480912.76,68.24,84
2015,13_N4,Q3,576389.58,86.6,55
2015,13_N4,Q4a,819096.17,129.83,6
2015,13_N4,Q4b,1135355.43,173.43,7
2015,13_N5,Q1,315000.0,43.1,5
2015,13_N5,Q2,915000.0,62.67,1
2015,13_N5,Q3,672500.0,94.5,2
2015,13_N5,Q4a,,,0
2015,13_N5,Q4b,1375000.0,165.0,1
2015,14_NW10,Q1,272083.33,46.67,3
2015,14_NW10,Q2,485000.0,68.89,1
2015,14_NW10,Q3,183016.0,102.0,1
2015,14_NW10,Q4a,593750.0,118.22,4
2015,14_NW10,Q4b,,,0
2015,14_SW10,Q1,,,0
2015,14_SW10,Q2,,,0
2015,14_SW10,Q3,1416785.71,88.1,7
2015,14_SW10,Q4a,1915714.29,137.53,7
2015,14_SW10,Q4b,5100000.0,250.0,2
2015,14_SW6,Q1,535386.46,46.6,199
2015,14_SW6,Q2,700144.15,68.32,183
2015,14_SW6,Q3,949712.85,89.74,135
2015,14_SW6,Q4a,1372958.77,123.59,176
2015,14_SW6,Q4b,2282443.12,196.33,179
2015,14_W10,Q1,213500.0,48.0,1
2015,14_W10,Q2,,,0
2015,14_W10,Q3,,,0
2015,14_W10,Q4a,,,0
2015,14_W10,Q4b,,,0
2015,14_W11,Q1,345666.67,48.09,3
2015,14_W11,Q2,431666.67,66.83,3
2015,14_W11,Q3,662500.0,84.32,2
2015,14_W11,Q4a,,,0
2015,14_W11,Q4b,,,0
2015,14_W12,Q1,402664.45,47.48,120
2015,14_W12,Q2,552724.91,68.4,95
2015,14_W12,Q3,702685.48,89.78,62
2015,14_W12,Q4a,1031423.33,122.48,60
2015,14_W12,Q4b,1650358.97,199.12,39
2015,14_W14,Q1,486742.3,44.97,127
2015,14_W14,Q2,608939.22,66.61,51
2015,14_W14,Q3,931524.37,89.74,38
2015,14_W14,Q4a,1265064.71,126.8,41
2015,14_W14,Q4b,2062532.46,191.07,37
2015,14_W3,Q1,293958.33,42.75,6
2015,14_W3,Q2,448307.14,70.29,7
2015,14_W3,Q3,670000.0,90.0,2
2015,14_W3,Q4a,,,0
2015,14_W3,Q4b,1100000.0,210.0,1
2015,14_W4,Q1,,,0
2015,14_W4,Q2,,,0
2015,14_W4,Q3,,,0
2015,14_W4,Q4a,,,0
2015,14_W4,Q4b,,,0
2015,14_W6,Q1,423102.64,42.97,150
2015,14_W6,Q2,592750.08,68.32,66
2015,14_W6,Q3,980156.15,90.43,94
2015,14_W6,Q4a,1312002.11,127.24,79
2015,14_W6,Q4b,2262672.51,202.24,37
2015,15_N10,Q1,362839.02,47.47,41
2015,15_N10,Q2,500922.79,66.27,47
2015,15_N10,Q3,638207.35,86.93,34
2015,15_N10,Q4a,948063.11,126.59,28
2015,15_N10,Q4b,1449741.54,202.08,65
2015,15_N11,Q1,290712.5,52.13,8
2015,15_N11,Q2,351767.81,65.65,16
2015,15_N11,Q3,553800.0,92.97,10
2015,15_N11,Q4a,774817.86,121.1,14
2015,15_N11,Q4b,1043333.33,226.0,3
2015,15_N13,Q1,,,0
2015,15_N13,Q2,,,0
2015,15_N13,Q3,,,0
2015,15_N13,Q4a,,,0
2015,15_N13,Q4b,,,0
2015,15_N15,Q1,289304.09,48.53,78
2015,15_N15,Q2,393070.75,69.61,68
2015,15_N15,Q3,484159.23,90.53,97
2015,15_N15,Q4a,555754.89,116.71,47
2015,15_N15,Q4b,684500.0,164.04,6
2015,15_N17,Q1,229695.03,48.78,146
2015,15_N17,Q2,300352.67,69.75,169
2015,15_N17,Q3,381343.3,88.51,135
2015,15_N17,Q4a,472554.46,114.92,48
2015,15_N17,Q4b,557500.0,153.5,2
2015,15_N18,Q1,,,0
2015,15_N18,Q2,285750.0,71.75,4
2015,15_N18,Q3,284000.0,93.0,1
2015,15_N18,Q4a,,,0
2015,15_N18,Q4b,,,0
2015,15_N2,Q1,427833.33,42.35,3
2015,15_N2,Q2,461000.0,68.15,10
2015,15_N2,Q3,538100.0,92.74,5
2015,15_N2,Q4a,1252066.67,126.93,9
2015,15_N2,Q4b,1777600.0,215.2,15
2015,15_N22,Q1,307870.96,50.14,91
2015,15_N22,Q2,397667.81,68.47,120
2015,15_N22,Q3,475948.16,88.38,85
2015,15_N22,Q4a,672955.31,122.54,71
2015,15_N22,Q4b,891730.77,171.16,13
2015,15_N4,Q1,359151.51,46.0,72
2015,15_N4,Q2,452255.3,66.86,50
2015,15_N4,Q3,562601.61,88.61,31
2015,15_N4,Q4a,771431.03,124.49,29
2015,15_N4,Q4b,1083125.0,180.01,24
2015,15_N6,Q1,439857.27,48.04,48
