postcode,mean_ptal
BR1 1AB,26.7840924099452
BR1 1AE,17.708292953633055
BR1 1AL,26.7840924099452
BR1 1AX,26.7840924099452
BR1 1BA,17.241876622868272
BR1 1BB,17.241876622868272
BR1 1BP,8.445450049975468
BR1 1BS,26.7840924099452
BR1 1BT,14.893089326936884
BR1 1BU,8.445450049975468
BR1 1BW,17.241876622868272
BR1 1BX,26.7840924099452
BR1 1BY,26.7840924099452
BR1 1BZ,26.7840924099452
BR1 1DB,26.7840924099452
BR1 1DD,26.7840924099452
BR1 1DE,8.445450049975468
BR1 1DF,8.445450049975468
BR1 1DG,8.445450049975468
BR1 1DH,8.445450049975468
BR1 1DJ,26.7840924099452
BR1 1DL,8.445450049975468
BR1 1DN,26.7840924099452
BR1 1DP,17.241876622868272
BR1 1DQ,8.445450049975468
BR1 1DR,17.241876622868272
BR1 1DT,8.445450049975468
BR1 1DU,17.241876622868272
BR1 1DW,17.708292953633055
BR1 1DX,26.7840924099452
BR1 1EH,26.7840924099452
BR1 1ES,17.708292953633055
BR1 1EU,17.708292953633055
BR1 1EW,17.708292953633055
BR1 1EX,17.708292953633055
BR1 1EY,17.708292953633055
BR1 1EZ,17.708292953633055
BR1 1GA,17.708292953633055
BR1 1HA,17.708292953633055
BR1 1HB,17.708292953633055
BR1 1HD,26.7840924099452
BR1 1HE,17.708292953633055
BR1 1HF,17.708292953633055
BR1 1HG,17.708292953633055
BR1 1HH,26.7840924099452
BR1 1HJ,17.708292953633055
BR1 1HL,17.708292953633055
BR1 1HQ,17.708292953633055
BR1 1JB,17.708292953633055
BR1 1JD,26.7840924099452
BR1 1JF,26.7840924099452
BR1 1JG,26.7840924099452
BR1 1JH,26.7840924099452
BR1 1JJ,17.708292953633055
BR1 1JL,26.7840924099452
BR1 1JS,17.708292953633055
BR1 1LB,26.7840924099452
BR1 1LY,26.7840924099452
BR1 1NA,26.7840924099452
BR1 1NB,17.708292953633055
BR1 1ND,26.7840924099452
BR1 1NE,26.7840924099452
BR1 1NF,26.7840924099452
BR1 1NG,26.7840924099452
BR1 1NJ,26.7840924099452
BR1 1NL,26.7840924099452
BR1 1NN,26.7840924099452
BR1 1NP,26.7840924099452
BR1 1NQ,26.7840924099452
BR1 1NY,26.7840924099452
BR1 1NZ,26.7840924099452
BR1 1PA,26.7840924099452
BR1 1PB,26.7840924099452
BR1 1PD,26.7840924099452
BR1 1PE,26.7840924099452
BR1 1PF,26.7840924099452
BR1 1PG,26.7840924099452
BR1 1PH,26.7840924099452
BR1 1PJ,26.7840924099452
BR1 1PL,26.7840924099452
BR1 1PN,26.7840924099452
BR1 1PQ,26.7840924099452
BR1 1PR,26.7840924099452
BR1 1PS,26.7840924099452
BR1 1PT,8.445450049975468
BR1 1PU,26.7840924099452
BR1 1PW,26.7840924099452
BR1 1PX,26.7840924099452
BR1 1PY,26.7840924099452
BR1 1PZ,26.7840924099452
BR1 1QA,26.7840924099452
BR1 1QB,26.7840924099452
BR1 1QD,17.708292953633055
BR1 1QF,26.7840924099452
BR1 1QG,26.7840924099452
BR1 1QS,26.7840924099452
BR1 1QX,26.7840924099452
BR1 1QY,17.708292953633055
BR1 1RA,26.7840924099452
BR1 1RD,26.7840924099452
BR1 1RE,26.7840924099452
BR1 1RG,26.7840924099452
BR1 1RJ,26.7840924099452
BR1 1RL,26.7840924099452
BR1 1RN,26.7840924099452
BR1 1RR,26.7840924099452
BR1 1RS,26.7840924099452
BR1 1RT,26.7840924099452
BR1 1RU,26.7840924099452
BR1 1RW,26.7840924099452
BR1 1RX,26.7840924099452
BR1 1RY,26.7840924099452
BR1 1RZ,26.7840924099452
BR1 1SA,26.7840924099452
BR1 1SH,26.7840924099452
BR1 1TB,17.708292953633055
BR1 1TE,26.7840924099452
BR1 1TH,17.708292953633055
BR1 1TJ,26.7840924099452
BR1 1TP,26.7840924099452
BR1 1TX,17.708292953633055
BR1 1TY,26.7840924099452
BR1 1UA,26.7840924099452
BR1 1UB,26.7840924099452
BR1 1UD,26.7840924099452
BR1 1UE,26.7840924099452
BR1 1UF,17.708292953633055
BR1 1UG,17.708292953633055
BR1 1UH,26.7840924099452
BR1 1WA,26.7840924099452
BR1 1WB,26.7840924099452
BR1 1WD,26.7840924099452
BR1 1WE,26.7840924099452
BR1 1WF,26.7840924099452
BR1 1WG,26.7840924099452
BR1 1WH,26.7840924099452
BR1 1WJ,26.7840924099452
BR1 1WL,26.7840924099452
BR1 1WN,26.7840924099452
BR1 1WP,26.7840924099452
BR1 1WQ,26.7840924099452
BR1 1WR,26.7840924099452
BR1 1WS,26.7840924099452
BR1 1WT,26.7840924099452
BR1 1WU,26.7840924099452
BR1 1WW,26.7840924099452
BR1 1WX,26.7840924099452
BR1 1WY,26.7840924099452
BR1 1WZ,26.7840924099452
BR1 1XA,26.7840924099452
BR1 1XB,26.7840924099452
BR1 1XD,26.7840924099452
BR1 1XE,26.7840924099452
BR1 1XF,26.7840924099452
BR1 1XU,26.7840924099452
BR1 1XW,26.7840924099452
BR1 1XX,26.7840924099452
BR1 1XY,26.7840924099452
BR1 1XZ,26.7840924099452
BR1 1YW,26.7840924099452
BR1 1YX,26.7840924099452
BR1 1YZ,26.7840924099452
BR1 1ZA,26.7840924099452
BR1 1ZB,26.7840924099452
BR1 1ZD,26.7840924099452
BR1 1ZE,26.7840924099452
BR1 1ZF,26.7840924099452
BR1 1ZG,26.7840924099452
BR1 1ZH,26.7840924099452
BR1 1ZJ,26.7840924099452
BR1 1ZL,26.7840924099452
BR1 1ZN,26.7840924099452
BR1 1ZP,26.7840924099452
BR1 1ZQ,26.7840924099452
BR1 1ZR,26.7840924099452
BR1 1ZS,26.7840924099452
BR1 1ZU,26.7840924099452
BR1 1ZW,26.7840924099452
BR1 1ZX,26.7840924099452
BR1 1ZY,26.7840924099452
BR1 1ZZ,26.7840924099452
BR1 2AA,3.3587367333373
BR1 2AB,6.91554759823956
BR1 2AD,6.91554759823956
BR1 2AE,6.91554759823956
BR1 2AF,6.91554759823956
